"","country","risk_1or2.from2023","risk_rank.from2023","risk_1or2.offsetdecay","risk_rank.offsetdecay","risk_1or2.bd","risk_rank.bd"
"1","Chad",0.1282,1,0.1276,1,0.1282,1
"2","Myanmar (Burma)",0.0908,2,0.0892,2,0.0976,2
"3","Sudan",0.0885,3,0.0849,4,0.0881,3
"4","Pakistan",0.0871,4,0.0851,3,0.0872,4
"5","India",0.0735,5,0.0767,5,0.0743,5
"6","Burkina Faso (Upper Volta)",0.066,6,0.0636,6,0.0663,6
"7","Yemen",0.0572,7,0.0568,8,0.0636,7
"8","Guinea",0.0566,8,0.0553,9,0.0542,10
"9","Afghanistan",0.0562,9,0.0586,7,0.0566,9
"10","Ethiopia",0.0549,10,0.0538,10,0.0586,8
"11","Nigeria",0.0457,11,0.0439,11,0.0458,11
"12","Bangladesh",0.044,12,0.0433,12,0.0425,12
"13","Indonesia",0.0425,13,0.0416,13,0.0418,13
"14","Congo, Democratic Republic of (Zaire)",0.0407,14,0.0407,14,0.0409,14
"15","Russia (Soviet Union)",0.0364,15,0.036,15,0.037,15
"16","Philippines",0.0362,16,0.0354,16,0.0362,16
"17","Turkey (Ottoman Empire)",0.0341,17,0.0328,17,0.034,18
"18","Iran (Persia)",0.0334,18,0.0324,19,0.0318,19
"19","Niger",0.0328,19,0.0327,18,0.0341,17
"20","Iraq",0.0304,20,0.0308,20,0.0297,20
"21","Mali",0.0292,21,0.0284,22,0.0292,21
"22","Congo",0.0285,22,0.0285,21,0.0276,23
"23","Tajikistan",0.0284,23,0.0278,24,0.0272,24
"24","Egypt",0.0282,24,0.0282,23,0.0268,25
"25","Somalia",0.028,25,0.0266,28,0.0279,22
"26","Cote Dâ€™Ivoire",0.0275,26,0.0277,25,0.0265,26
"27","Angola",0.027,27,0.0267,26,0.026,28
"28","South Sudan",0.0269,28,0.0253,30,0.0249,31
"29","Central African Republic",0.0268,29,0.0258,29,0.0264,27
"30","Thailand",0.0258,30,0.0266,27,0.0256,29
"31","Uganda",0.0253,31,0.025,31,0.0243,32
"32","Mozambique",0.0251,32,0.0244,32,0.0252,30
"33","South Africa",0.0248,33,0.0243,33,0.0239,35
"34","China",0.0248,34,0.0242,34,0.0239,33
"35","Rwanda",0.0245,35,0.0237,35,0.0239,34
"36","Laos",0.0236,36,0.0233,36,0.0227,36
"37","Jordan",0.0227,37,0.0224,37,0.0221,37
"38","Malawi",0.0226,38,0.0223,38,0.0219,38
"39","Cambodia (Kampuchea)",0.0218,39,0.0213,39,0.021,40
"40","Nepal",0.0214,40,0.021,40,0.0204,41
"41","Syria",0.021,41,0.0203,41,0.021,39
"42","Tanzania/Tanganyika",0.0208,42,0.0201,42,0.0199,42
"43","Eritrea",0.0197,43,0.0189,44,0.0185,44
"44","Cameroon",0.0195,44,0.0191,43,0.0195,43
"45","Sierra Leone",0.019,45,0.0185,46,0.018,46
"46","Algeria",0.0189,46,0.0187,45,0.0182,45
"47","Burundi",0.0168,47,0.0165,47,0.0165,47
"48","Guinea-Bissau",0.0163,48,0.016,48,0.0156,48
"49","Liberia",0.0153,49,0.0149,49,0.0145,51
"50","Zimbabwe (Rhodesia)",0.015,50,0.0149,50,0.0146,49
"51","Kenya",0.0148,51,0.0143,51,0.0145,50
"52","Papua New Guinea",0.0143,52,0.0139,52,0.0136,52
"53","Gabon",0.0141,53,0.0138,53,0.0134,53
"54","Vietnam, Democratic Republic of",0.014,54,0.0134,54,0.0132,54
"55","Libya",0.0133,55,0.0125,56,0.0124,56
"56","Colombia",0.0129,56,0.0126,55,0.0124,55
"57","Madagascar",0.012,57,0.0118,57,0.0116,57
"58","Bosnia-Herzegovina",0.0117,58,0.0114,59,0.0113,59
"59","Morocco",0.0116,59,0.0116,58,0.0113,58
"60","Georgia",0.0109,60,0.0107,60,0.0105,60
"61","Mauritania",0.0109,61,0.0106,61,0.0103,61
"62","Equatorial Guinea",0.0107,62,0.0102,63,0.01,64
"63","Kyrgyz Republic",0.0107,63,0.0105,62,0.0102,63
"64","Togo",0.0103,64,0.01,64,0.0102,62
"65","Senegal",0.01,65,0.0096,66,0.0094,67
"66","Bahrain",0.01,66,0.0098,65,0.0095,65
"67","Nicaragua",0.0099,67,0.0095,68,0.0093,68
"68","Ukraine",0.0099,68,0.0096,67,0.0094,66
"69","Peru",0.0098,69,0.0094,69,0.0093,69
"70","Zambia",0.009,70,0.0087,70,0.0085,70
"71","Uzbekistan",0.0088,71,0.0086,71,0.0084,71
"72","Djibouti",0.0086,72,0.0083,72,0.0081,73
"73","Azerbaijan",0.0082,73,0.008,73,0.0082,72
"74","Korea, People's Republic of",0.0081,74,0.0077,74,0.0076,74
"75","Lebanon",0.0076,75,0.0075,75,0.0074,75
"76","Argentina",0.0072,76,0.0068,77,0.0067,77
"77","Namibia",0.0072,77,0.007,76,0.0068,76
"78","Sri Lanka (Ceylon)",0.0067,78,0.0063,78,0.0063,78
"79","Mexico",0.0064,79,0.0061,79,0.006,79
"80","Botswana",0.0063,80,0.0061,80,0.006,80
"81","El Salvador",0.0062,81,0.0059,81,0.0058,81
"82","Brazil",0.0061,82,0.0058,82,0.0057,82
"83","Venezuela",0.006,83,0.0056,86,0.0055,86
"84","United States of America",0.006,84,0.0057,84,0.0056,83
"85","Bhutan",0.0059,85,0.0057,83,0.0056,84
"86","United Arab Emirates",0.0058,86,0.0056,85,0.0055,85
"87","Fiji",0.0054,87,0.0052,87,0.0051,87
"88","Mauritius",0.0052,88,0.0051,88,0.005,88
"89","Korea, Republic of",0.0052,89,0.0049,89,0.0049,89
"90","Taiwan",0.0051,90,0.0049,90,0.0049,90
"91","Israel",0.0048,91,0.0046,91,0.0048,91
"92","Kazakhstan",0.0048,92,0.0046,92,0.0045,92
"93","Guatemala",0.0048,93,0.0046,93,0.0045,94
"94","Hungary",0.0047,94,0.0045,94,0.0045,93
"95","East Timor",0.0046,95,0.0044,95,0.0044,95
"96","Rumania",0.0046,96,0.0044,96,0.0043,96
"97","Comoros",0.0043,97,0.0042,97,0.0041,97
"98","Swaziland",0.0043,98,0.0041,98,0.0039,99
"99","Benin",0.0042,99,0.004,99,0.004,98
"100","Ecuador",0.0041,100,0.0039,100,0.0039,101
"101","Poland",0.0041,101,0.0039,101,0.0039,100
"102","Honduras",0.004,102,0.0038,103,0.0038,103
"103","Croatia",0.004,103,0.0038,102,0.0038,102
"104","Serbia",0.004,104,0.0038,104,0.0037,104
"105","Maldives",0.0039,105,0.0038,105,0.0037,105
"106","Czech Republic",0.0038,106,0.0036,107,0.0036,106
"107","Ghana",0.0038,107,0.0037,106,0.0036,107
"108","Haiti",0.0038,108,0.0036,108,0.0036,108
"109","Panama",0.0038,109,0.0036,109,0.0035,109
"110","Canada",0.0038,110,0.0035,111,0.0035,111
"111","Paraguay",0.0037,111,0.0036,110,0.0035,110
"112","Slovakia",0.0035,112,0.0034,112,0.0034,112
"113","Cyprus",0.0035,113,0.0034,113,0.0033,113
"114","Malaysia",0.0033,114,0.0032,114,0.0031,114
"115","Turkmenistan",0.0033,115,0.0032,115,0.0031,115
"116","Saudi Arabia",0.0031,116,0.003,116,0.0029,116
"117","Chile",0.0031,117,0.0029,117,0.0029,117
"118","United Kingdom",0.003,118,0.0029,118,0.0028,118
"119","Dominican Republic",0.0029,119,0.0027,120,0.0027,120
"120","Japan",0.0029,120,0.0027,119,0.0027,119
"121","Spain",0.0028,121,0.0026,121,0.0026,121
"122","Germany",0.0027,122,0.0026,122,0.0026,122
"123","Gambia",0.0027,123,0.0026,123,0.0026,123
"124","France",0.0027,124,0.0026,124,0.0025,124
"125","Guyana",0.0025,125,0.0024,126,0.0023,126
"126","Italy/Sardinia",0.0025,126,0.0024,127,0.0023,127
"127","Mongolia",0.0025,127,0.0024,125,0.0023,125
"128","Lesotho",0.0024,128,0.0023,128,0.0023,128
"129","Australia",0.0024,129,0.0023,129,0.0022,129
"130","New Zealand",0.0022,130,0.0021,130,0.0021,130
"131","Belarus (Byelorussia)",0.0021,131,0.002,131,0.002,131
"132","Greece",0.0021,132,0.002,132,0.0019,132
"133","Moldova",0.0021,133,0.002,134,0.0019,134
"134","Singapore",0.0021,134,0.002,133,0.0019,133
"135","Surinam",0.0021,135,0.0019,137,0.0019,137
"136","Netherlands",0.002,136,0.0019,136,0.0019,136
"137","Macedonia (Former Yugoslav Republic of)",0.002,137,0.002,135,0.0019,135
"138","Belgium",0.002,138,0.0019,139,0.0018,139
"139","Kuwait",0.002,139,0.0019,140,0.0018,140
"140","Austria",0.0019,140,0.0019,138,0.0018,138
"141","Portugal",0.0019,141,0.0018,141,0.0018,141
"142","Switzerland",0.0019,142,0.0018,142,0.0018,142
"143","Oman",0.0019,143,0.0018,143,0.0018,143
"144","Qatar",0.0019,144,0.0018,144,0.0018,144
"145","Tunisia",0.0019,145,0.0017,146,0.0017,146
"146","Bulgaria",0.0018,146,0.0017,147,0.0017,147
"147","Sweden",0.0018,147,0.0017,148,0.0017,148
"148","Albania",0.0018,148,0.0017,145,0.0017,145
"149","Kosovo",0.0017,149,0.0016,149,0.0016,149
"150","Denmark",0.0016,150,0.0016,150,0.0015,150
"151","Ireland",0.0016,151,0.0015,151,0.0015,151
"152","Armenia",0.0016,152,0.0015,152,0.0015,152
"153","Lithuania",0.0015,153,0.0014,153,0.0014,153
"154","Bolivia",0.0015,154,0.0014,157,0.0013,157
"155","Finland",0.0015,155,0.0014,154,0.0014,154
"156","Solomon Islands",0.0014,156,0.0014,155,0.0014,155
"157","Latvia",0.0014,157,0.0014,156,0.0013,156
"158","Norway",0.0014,158,0.0013,158,0.0013,158
"159","Slovenia",0.0013,159,0.0012,159,0.0012,159
"160","Cape Verde",0.0013,160,0.0012,160,0.0012,160
"161","Cuba",0.0013,161,0.0012,162,0.0012,161
"162","Estonia",0.0012,162,0.0012,161,0.0012,162
"163","Luxembourg",0.0011,163,0.001,163,0.001,163
"164","Montenegro",0.0011,164,0.001,164,0.001,164
"165","Malta",0.001,165,0.001,165,0.001,165
"166","Trinidad and Tobago",0.001,166,0.001,166,9e-04,166
"167","Costa Rica",0.001,167,9e-04,167,9e-04,167
"168","Jamaica",8e-04,168,8e-04,168,8e-04,168
"169","Uruguay",8e-04,169,7e-04,169,7e-04,169
