"","ewp_name","risk.2024moodel","rank.2024model","risk_2023model","rank_2023model","risk_difference","rank_difference"
"1","South Sudan",0.0368,18,0.003,82,0.0338,-64
"2","Equatorial Guinea",0.0127,59,0.0022,94,0.0105,-35
"3","Croatia",0.0039,114,7e-04,145,0.0032,-31
"4","Djibouti",0.0097,74,0.0021,99,0.0076,-25
"5","Kazakhstan",0.0067,88,0.0014,112,0.0053,-24
"6","Timor-Leste",0.0051,98,0.0011,121,0.004,-23
"7","Guyana",0.0032,124,6e-04,147,0.0026,-23
"8","Eswatini",0.0056,92,0.0014,113,0.0042,-21
"9","Slovakia",0.0034,119,7e-04,140,0.0027,-21
"10","Kosovo",0.0022,146,2e-04,166,0.002,-20
"11","Philippines",0.0365,19,0.0177,38,0.0188,-19
"12","Czech Republic",0.0036,115,9e-04,134,0.0027,-19
"13","Moldova",0.0027,135,3e-04,154,0.0024,-19
"14","Azerbaijan",0.0086,75,0.0022,93,0.0064,-18
"15","Niger",0.0405,16,0.0202,31,0.0203,-15
"16","Belarus",0.0028,133,6e-04,148,0.0022,-15
"17","Macedonia",0.0024,143,3e-04,158,0.0021,-15
"18","Kuwait",0.0028,132,7e-04,146,0.0021,-14
"19","Solomon Islands",0.002,150,2e-04,164,0.0018,-14
"20","Iraq",0.0388,17,0.0207,30,0.0181,-13
"21","Somalia",0.0282,28,0.0164,41,0.0118,-13
"22","Guinea-Bissau",0.0183,47,0.007,60,0.0113,-13
"23","Namibia",0.008,78,0.0023,91,0.0057,-13
"24","Singapore",0.003,126,8e-04,139,0.0022,-13
"25","Qatar",0.0025,136,6e-04,149,0.0019,-13
"26","Egypt",0.0289,24,0.0177,36,0.0112,-12
"27","Turkmenistan",0.0042,110,0.001,122,0.0032,-12
"28","Bolivia",0.0025,138,5e-04,150,0.002,-12
"29","Eritrea",0.0198,45,0.0082,56,0.0116,-11
"30","Kyrgystan",0.0119,62,0.0037,73,0.0082,-11
"31","Georgia",0.0102,67,0.0031,78,0.0071,-11
"32","Uzbekistan",0.0101,68,0.0031,79,0.007,-11
"33","Malaysia",0.0049,99,0.0015,110,0.0034,-11
"34","Central African Republic",0.0253,34,0.0145,44,0.0108,-10
"35","Ukraine",0.0103,65,0.0035,75,0.0068,-10
"36","Bosnia and Herzegovina",0.0097,73,0.003,83,0.0067,-10
"37","Fiji",0.0068,86,0.0022,96,0.0046,-10
"38","The Gambia",0.0035,118,0.001,128,0.0025,-10
"39","Suriname",0.0024,142,4e-04,152,0.002,-10
"40","Burundi",0.0228,40,0.011,49,0.0118,-9
"41","Gabon",0.0174,49,0.0072,58,0.0102,-9
"42","Tajikistan",0.0285,25,0.0201,33,0.0084,-8
"43","Haiti",0.0053,96,0.0018,104,0.0035,-8
"44","Democratic Republic of Congo",0.0454,14,0.0249,21,0.0205,-7
"45","Cambodia",0.0254,33,0.0167,40,0.0087,-7
"46","Burma/Myanmar",0.1011,3,0.0401,9,0.061,-6
"47","Indonesia",0.0545,12,0.0265,18,0.028,-6
"48","Turkey",0.031,23,0.022,29,0.009,-6
"49","North Korea",0.01,71,0.0032,77,0.0068,-6
"50","Cape Verde",0.0016,159,2e-04,165,0.0014,-6
"51","Angola",0.0267,29,0.0197,34,0.007,-5
"52","Luxembourg",0.0014,163,1e-04,168,0.0013,-5
"53","Yemen",0.057,10,0.032,14,0.025,-4
"54","Nigeria",0.0565,11,0.0311,15,0.0254,-4
"55","Mali",0.0327,22,0.0227,26,0.01,-4
"56","Syria",0.023,39,0.0147,43,0.0083,-4
"57","Cameroon",0.0211,43,0.0114,47,0.0097,-4
"58","Bahrain",0.0125,61,0.0052,65,0.0073,-4
"59","Oman",0.0028,134,8e-04,138,0.002,-4
"60","Sudan",0.1121,2,0.0583,5,0.0538,-3
"61","Zimbabwe",0.0173,50,0.0096,53,0.0077,-3
"62","Papua New Guinea",0.0148,54,0.0078,57,0.007,-3
"63","Madagascar",0.0143,56,0.007,59,0.0073,-3
"64","Benin",0.0053,95,0.0021,98,0.0032,-3
"65","Saudi Arabia",0.0046,103,0.0017,106,0.0029,-3
"66","New Zealand",0.0029,130,9e-04,133,0.002,-3
"67","Slovenia",0.0015,160,2e-04,163,0.0013,-3
"68","Armenia",0.0019,153,3e-04,155,0.0016,-2
"69","Burkina Faso",0.0664,6,0.0455,7,0.0209,-1
"70","Honduras",0.0049,100,0.0019,101,0.003,-1
"71","Mongolia",0.0031,125,0.001,126,0.0021,-1
"72","Montenegro",0.0013,166,1e-04,167,0.0012,-1
"73","Chad",0.1231,1,0.0972,1,0.0259,0
"74","Pakistan",0.0999,4,0.0626,4,0.0373,0
"75","Mozambique",0.0284,27,0.0226,27,0.0058,0
"76","Ivory Coast",0.0253,35,0.0188,35,0.0065,0
"77","Ecuador",0.0052,97,0.0021,97,0.0031,0
"78","Serbia",0.0045,107,0.0016,107,0.0029,0
"79","Lithuania",0.0018,156,3e-04,156,0.0015,0
"80","Estonia",0.0015,161,3e-04,161,0.0012,0
"81","Trinidad and Tobago",0.0015,162,2e-04,162,0.0013,0
"82","Ethiopia",0.0664,7,0.0499,6,0.0165,1
"83","Guinea",0.0588,9,0.045,8,0.0138,1
"84","Rwanda",0.0328,21,0.025,20,0.0078,1
"85","United Arab Emirates",0.007,85,0.0028,84,0.0042,1
"86","Panama",0.0045,106,0.0018,105,0.0027,1
"87","Latvia",0.0017,158,3e-04,157,0.0014,1
"88","Iran",0.0412,15,0.0326,13,0.0086,2
"89","Kenya",0.0183,48,0.0115,46,0.0068,2
"90","Senegal",0.0113,63,0.0069,61,0.0044,2
"91","Hungary",0.0047,102,0.002,100,0.0027,2
"92","United Kingdom",0.004,113,0.0014,111,0.0026,2
"93","Chile",0.0036,116,0.0014,114,0.0022,2
"94","India",0.0822,5,0.0749,2,0.0073,3
"95","Bangladesh",0.0489,13,0.0359,10,0.013,3
"96","Malawi",0.0215,42,0.0169,39,0.0046,3
"97","Colombia",0.0135,58,0.0085,55,0.005,3
"98","Guatemala",0.0059,90,0.0025,87,0.0034,3
"99","Comoros",0.0055,93,0.0024,90,0.0031,3
"100","Paraguay",0.0045,105,0.0019,102,0.0026,3
"101","Germany",0.0033,120,0.0012,117,0.0021,3
"102","Lesotho",0.003,127,0.001,124,0.002,3
"103","Russia",0.0334,20,0.0307,16,0.0027,4
"104","Mauritania",0.0147,55,0.0104,51,0.0043,4
"105","Peru",0.0103,66,0.0065,62,0.0038,4
"106","Lebanon",0.0101,70,0.0051,66,0.005,4
"107","Mexico",0.0079,80,0.0033,76,0.0046,4
"108","Japan",0.0041,112,0.0016,108,0.0025,4
"109","France",0.0033,122,0.0012,118,0.0021,4
"110","Afghanistan",0.0643,8,0.0649,3,-0.000600000000000003,5
"111","Democratic Republic of Vietnam",0.0168,53,0.011,48,0.0058,5
"112","Mauritius",0.0057,91,0.0027,86,0.003,5
"113","Thailand",0.0266,30,0.0238,24,0.0028,6
"114","Zambia",0.0101,69,0.0064,63,0.0037,6
"115","Sri Lanka",0.0083,77,0.0041,71,0.0042,6
"116","Ghana",0.0048,101,0.0022,95,0.0026,6
"117","Greece",0.0028,131,0.001,125,0.0018,6
"118","Switzerland",0.0025,137,9e-04,131,0.0016,6
"119","Malta",0.0013,165,3e-04,159,0.001,6
"120","Venezuela",0.0078,81,0.0037,74,0.0041,7
"121","Israel",0.0067,87,0.0031,80,0.0036,7
"122","Spain",0.0032,123,0.0013,116,0.0019,7
"123","Jamaica",0.0012,167,3e-04,160,9e-04,7
"124","Laos",0.0248,36,0.0224,28,0.0024,8
"125","Morocco",0.0127,60,0.0101,52,0.0026,8
"126","Italy",0.003,128,0.0011,120,0.0019,8
"127","Algeria",0.0191,46,0.0177,37,0.0014,9
"128","Sierra Leone",0.0173,51,0.0163,42,0.001,9
"129","Brazil",0.0083,76,0.0045,67,0.0038,9
"130","Denmark",0.002,151,7e-04,142,0.0013,9
"131","Togo",0.0111,64,0.0089,54,0.0022,10
"132","Bhutan",0.0074,82,0.004,72,0.0034,10
"133","Netherlands",0.0025,139,9e-04,129,0.0016,10
"134","United States of America",0.008,79,0.0044,68,0.0036,11
"135","Belgium",0.0024,141,9e-04,130,0.0015,11
"136","Bulgaria",0.0021,148,8e-04,137,0.0013,11
"137","Ireland",0.0019,152,7e-04,141,0.0012,11
"138","Libya",0.014,57,0.0139,45,0.000100000000000001,12
"139","Dominican Republic",0.0033,121,0.0016,109,0.0017,12
"140","Portugal",0.0023,144,9e-04,132,0.0014,12
"141","Sweden",0.0022,147,8e-04,135,0.0014,12
"142","Finland",0.0018,155,7e-04,143,0.0011,12
"143","Uganda",0.0262,32,0.0254,19,0.000800000000000002,13
"144","Jordan",0.0233,38,0.0227,25,6e-04,13
"145","South Korea",0.0053,94,0.003,81,0.0023,13
"146","Tunisia",0.0024,140,0.001,127,0.0014,13
"147","Albania",0.0021,149,8e-04,136,0.0013,13
"148","Norway",0.0018,157,7e-04,144,0.0011,13
"149","Costa Rica",0.0013,164,4e-04,151,9e-04,13
"150","Cyprus",0.0036,117,0.0018,103,0.0018,14
"151","Australia",0.003,129,0.0013,115,0.0017,14
"152","China",0.0284,26,0.034,11,-0.0056,15
"153","South Africa",0.0235,37,0.0247,22,-0.0012,15
"154","Botswana",0.007,84,0.0043,69,0.0027,15
"155","Romania",0.0045,104,0.0024,89,0.0021,15
"156","Uruguay",0.0011,168,4e-04,153,7e-04,15
"157","Poland",0.0043,109,0.0022,92,0.0021,17
"158","Tanzania",0.0218,41,0.0245,23,-0.0027,18
"159","Republic of Congo",0.0264,31,0.0328,12,-0.0064,19
"160","Argentina",0.0074,83,0.0063,64,0.0011,19
"161","El Salvador",0.0066,89,0.0042,70,0.0024,19
"162","Liberia",0.017,52,0.0202,32,-0.0032,20
"163","Nicaragua",0.0099,72,0.0109,50,-0.000999999999999999,22
"164","Canada",0.0044,108,0.0028,85,0.0016,23
"165","Maldives",0.0042,111,0.0024,88,0.0018,23
"166","Austria",0.0023,145,0.0011,119,0.0012,26
"167","Nepal",0.0202,44,0.0284,17,-0.0082,27
"168","Cuba",0.0018,154,0.001,123,8e-04,31
